CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2013 Taku Kudo, All rights reserved.

reading training data: 100.. 200.. 300.. 400.. 500.. 600.. 700.. 800.. 900.. 1000.. 1100.. 1200.. 1300.. 1400.. 1500.. 1600.. 1700.. 1800.. 1900.. 2000.. 2100.. 2200.. 2300.. 2400.. 2500.. 2600.. 2700.. 2800.. 2900.. 3000.. 3100.. 3200.. 3300.. 3400.. 3500.. 3600.. 3700.. 3800.. 3900.. 4000.. 4100.. 4200.. 4300.. 4400.. 4500.. 4600.. 4700.. 4800.. 4900.. 5000.. 5100.. 5200.. 5300.. 5400.. 5500.. 5600.. 5700.. 5800.. 5900.. 6000.. 6100.. 6200.. 6300.. 6400.. 6500.. 6600.. 6700.. 6800.. 6900.. 7000.. 7100.. 7200.. 7300.. 7400.. 7500.. 7600.. 7700.. 7800.. 7900.. 8000.. 8100.. 8200.. 8300.. 8400.. 8500.. 8600.. 8700.. 8800.. 8900.. 9000.. 9100.. 9200.. 9300.. 9400.. 9500.. 9600.. 9700.. 9800.. 9900.. 10000.. 10100.. 10200.. 10300.. 10400.. 10500.. 10600.. 10700.. 10800.. 10900.. 11000.. 11100.. 11200.. 11300.. 11400.. 11500.. 11600.. 11700.. 11800.. 11900.. 12000.. 12100.. 12200.. 12300.. 12400.. 12500.. 12600.. 12700.. 12800.. 12900.. 13000.. 13100.. 13200.. 13300.. 13400.. 13500.. 13600.. 13700.. 13800.. 13900.. 14000.. 14100.. 14200.. 14300.. 14400.. 14500.. 14600.. 14700.. 14800.. 14900.. 15000.. 15100.. 15200.. 15300.. 15400.. 15500.. 
Done!16.26 s

Number of sentences: 15586
Number of features:  1528756
Number of thread(s): 8
Freq:                4
eta:                 0.00010
C:                   3.00000
shrinking size:      20
iter=189 terr=0.00036 serr=0.01392 act=1528756 obj=3967.78631 diff=0.00185
iter=190 terr=0.00037 serr=0.01399 act=1528756 obj=3962.04673 diff=0.00145
iter=191 terr=0.00036 serr=0.01373 act=1528756 obj=3955.70372 diff=0.00160
iter=192 terr=0.00039 serr=0.01431 act=1528756 obj=3961.06176 diff=0.00135
iter=193 terr=0.00037 serr=0.01399 act=1528756 obj=3952.93882 diff=0.00205
iter=194 terr=0.00036 serr=0.01379 act=1528756 obj=3949.94191 diff=0.00076
iter=195 terr=0.00035 serr=0.01354 act=1528756 obj=3946.30161 diff=0.00092
iter=196 terr=0.00035 serr=0.01347 act=1528756 obj=3942.69554 diff=0.00091
iter=197 terr=0.00035 serr=0.01373 act=1528756 obj=3941.88909 diff=0.00020
iter=198 terr=0.00034 serr=0.01341 act=1528756 obj=3939.97458 diff=0.00049
iter=199 terr=0.00035 serr=0.01347 act=1528756 obj=3936.60427 diff=0.00086
iter=200 terr=0.00043 serr=0.01559 act=1528756 obj=3985.30457 diff=0.01237
iter=201 terr=0.00036 serr=0.01360 act=1528756 obj=3934.87155 diff=0.01265
iter=202 terr=0.00036 serr=0.01386 act=1528756 obj=3930.78584 diff=0.00104
iter=203 terr=0.00035 serr=0.01360 act=1528756 obj=3923.87160 diff=0.00176
iter=204 terr=0.00035 serr=0.01341 act=1528756 obj=3919.80744 diff=0.00104
iter=205 terr=0.00042 serr=0.01585 act=1528756 obj=3976.26916 diff=0.01440
iter=206 terr=0.00035 serr=0.01367 act=1528756 obj=3918.10957 diff=0.01463
iter=207 terr=0.00035 serr=0.01347 act=1528756 obj=3914.37505 diff=0.00095
iter=208 terr=0.00036 serr=0.01347 act=1528756 obj=3912.10743 diff=0.00058
iter=209 terr=0.00036 serr=0.01367 act=1528756 obj=3910.27662 diff=0.00047
iter=210 terr=0.00036 serr=0.01379 act=1528756 obj=3905.84208 diff=0.00113
iter=211 terr=0.00035 serr=0.01341 act=1528756 obj=3900.05696 diff=0.00148
iter=212 terr=0.00041 serr=0.01533 act=1528756 obj=3953.54695 diff=0.01372
iter=213 terr=0.00035 serr=0.01341 act=1528756 obj=3898.88840 diff=0.01383
iter=214 terr=0.00035 serr=0.01322 act=1528756 obj=3895.14678 diff=0.00096
